3763|322,425|32,2425|290,1825
3794|75|7,5|67,5
3796|50|5|45
3800|50|5|45
3802|50|5|45
3804|75|7,5|67,5
3805|75|7,5|67,5
3811|4140|414|3726
3812|4140|414|3726
3813|112,5|11,25|101,25
3817|112,5|11,25|101,25
3819|55|5,5|49,5
3828|13,8075|1,38075|12,42675
3829|10490,535|1049,0535|9441,4815
3830|6993,69|699,369|6294,321
3831|10674,375|1067,4375|9606,9375
3832|3615|361,5|3253,5
3842|9861,75|986,175|8875,575
3843|9861,75|986,175|8875,575
3849|499,75|49,975|449,775
3850|499,75|49,975|449,775
3851|876,78|87,678|789,102
3968|5826,875|582,6875|5244,1875
3974|46743,75|4674,375|42069,375
4001|165|16,5|148,5
4003|224,25|22,425|201,825
4004|165|16,5|148,5
4005|112,5|11,25|101,25
4007|10674,375|1067,4375|9606,9375
4022|114|11,4|102,6
4037|158,25|15,825|142,425
4038|304,395|30,4395|273,9555
4039|112,5|11,25|101,25
4051|440|44|396
4052|440|44|396
4064|7,5|0,75|6,75
4065|7,5|0,75|6,75
4066|7,5|0,75|6,75
4067|7,5|0,75|6,75
4068|7,5|0,75|6,75
4069|7,5|0,75|6,75
4070|7,5|0,75|6,75
4071|7,5|0,75|6,75
4072|7,5|0,75|6,75
4076|1300,875|130,0875|1170,7875
4084|60|6|54
4085|60|6|54
4089|266,665|26,6665|239,9985
4095|20344,5|2034,45|18310,05
4097|270|27|243
4101|165|16,5|148,5
4116|75|7,5|67,5
4118|75|7,5|67,5
4119|75|7,5|67,5
4120|75|7,5|67,5
4121|75|7,5|67,5
4122|75|7,5|67,5
4123|50|5|45
4124|50|5|45
4125|75|7,5|67,5
4126|50|5|45
4127|75|7,5|67,5
4129|75|7,5|67,5
4136|3678,75|367,875|3310,875
4141|38172|3817,2|34354,8
4152|180,45|18,045|162,405
4153|37,4975|3,74975|33,74775
4154|112,4925|11,24925|101,24325
4157|9861,75|986,175|8875,575
4158|9861,75|986,175|8875,575
4162|186,75|18,675|168,075
4166|11250|1125|10125
4174|66,75|6,675|60,075
4187|2645,7525|264,57525|2381,17725
4199|465|46,5|418,5
4200|465|46,5|418,5
4218|613,335|61,3335|552,0015
