OP;CGM;CNPJ;NOME;ELEMENTO;VALOR OP;VALOR RET;TIPO RET;DATA OP
561343;;;;;31.68;31.68;HSJB - IRRF RETIDO EM N.F;
561344;;;;;;;;
561345;;;;;;;;
561346;;;;;;;;
561347;;;;;;;;
561348;;;;;;;;
561349;;;;;;;;
561350;;;;;;;;
561351;;;;;;;;
561352;;;;;;;;
561354;;;;;89994.58;6329.79;IRRF - GESTAO PLENA - SUS;
561356;;;;;0.96;0.96;HSJB - IRRF RETIDO EM N.F;
561358;;;;;26303.92;1262.59;IRRF - GESTAO PLENA - SUS;
561360;;;;;;;;
561362;;;;;66;66;HSJB - IRRF RETIDO EM N.F;
561363;;;;;;;;
561364;;;;;;;;
561365;;;;;;;;
561368;;;;;;;;
561370;;;;;;;;
561371;;;;;104.4;104.4;HSJB - IRRF RETIDO EM N.F;
561372;;;;;;;;
561373;;;;;;;;
561374;;;;;;;;
561375;;;;;;;;
561376;;;;;5.67;5.67;HSJB - IRRF RETIDO EM N.F;
561377;;;;;15.1;15.1;HSJB - IRRF RETIDO EM N.F;
561378;;;;;7045;140.9;ISS - PMVR;
561380;;;;;;;;
561381;;;;;2859.28;47.45;IRRF - GOV ESTADO - F 193;
561382;;;;;;;;
561383;;;;;62.95;62.95;HSJB - IRRF RETIDO EM N.F;
561384;;;;;;;;
561385;;;;;;;;
561386;;;;;;;;
561387;;;;;15.27;15.27;HSJB - IRRF RETIDO EM N.F;
561388;;;;;;;;
561389;;;;;;;;
561390;;;;;;;;
561393;;;;;;;;
561394;;;;;;;;
561396;;;;;;;;
561400;;;;;;;;
561403;;;;;49.38;49.38;HSJB - IRRF RETIDO EM N.F;
561406;;;;;;;;
561407;;;;;;;;
561410;;;;;;;;
561411;;;;;;;;
561413;;;;;20.99;20.99;HSJB - IRRF RETIDO EM N.F;
561414;;;;;;;;
561415;;;;;;;;
561416;;;;;34964.96;3209.32;ISS - FME;
561418;;;;;;;;
561420;;;;;;;;
561424;;;;;3.96;3.96;HSJB - IRRF RETIDO EM N.F;
561426;;;;;;;;
561427;;;;;11.88;11.88;HSJB - IRRF RETIDO EM N.F;
561428;;;;;;;;
561429;;;;;192;192;HSJB - IRRF RETIDO EM N.F;
561431;;;;;;;;
561432;;;;;;;;
561433;;;;;;;;
561435;;;;;;;;
561436;;;;;;;;
561437;;;;;4860.8;243.04;ISS - FME;
561438;;;;;24052.5;1202.63;RETENCAO RELATIVA AO ISS  ROYALTES PETRO;
561438;;;;;24052.5;2645.78;RETENCAO - INSS ROYALTES PETROLEO FONTE;
561438;;;;;24052.5;1154.52;RETENCAO RELATIVA IRRF  ROYALTIES PETROL;
561439;;;;;591.24;591.24;HSJB - IRRF RETIDO EM N.F;
561443;;;;;4571.56;365.83;IRRF - GOV ESTADO - F 193;
561446;;;;;;;;
561448;;;;;;;;
561450;;;;;;;;
561453;;;;;17817.25;267.26;IRRF - GESTAO PLENA - SUS;
561453;;;;;17817.25;356.34;ISS - GESTAO PLENA;
561456;;;;;;;;
561457;;;;;5.04;5.04;HSJB - IRRF RETIDO EM N.F;
561459;;;;;;;;
561464;;;;;;;;
561468;;;;;;;;
561470;;;;;;;;
561486;;;;;;;;
561487;;;;;9;9;HSJB - IRRF RETIDO EM N.F;
561488;;;;;;;;
561489;;;;;;;;
561492;;;;;20467.2;255.26;IRRF - GESTAO PLENA - SUS;
561492;;;;;20467.2;1063.58;ISS - GESTAO PLENA;
561493;;;;;;;;
561494;;;;;;;;
561495;;;;;;;;
561496;;;;;;;;
561497;;;;;;;;
561499;;;;;;;;
561501;;;;;;;;
561503;;;;;172.8;172.8;HSJB - IRRF RETIDO EM N.F;
561504;;;;;;;;
561506;;;;;29421.61;713.46;IRRF - GESTAO PLENA - SUS;
561506;;;;;29421.61;2378.21;ISS - GESTAO PLENA;
561507;;;;;;;;
561510;;;;;;;;
561512;;;;;;;;
561516;;;;;;;;
561520;;;;;92.26;92.26;HSJB - IRRF RETIDO EM N.F;
561521;;;;;;;;
561525;;;;;;;;
561527;;;;;;;;
561529;;;;;2259.1;33.89;IRRF - GESTAO PLENA - SUS;
561529;;;;;2259.1;112.96;ISS - GESTAO PLENA;
561530;;;;;;;;
561531;;;;;;;;
561533;;;;;40.78;40.78;HSJB - IRRF RETIDO EM N.F;
561535;;;;;435;435;HSJB - IRRF RETIDO EM N.F;
561536;;;;;;;;
561538;;;;;3614.58;144.58;ISS - PMVR;
561538;;;;;3614.58;173.5;IRRF - PRESTADOR DE SERVIÇOS;
561539;;;;;32.37;32.37;HSJB - IRRF RETIDO EM N.F;
561540;;;;;;;;
561541;;;;;;;;
561542;;;;;;;;
